Symbol,Index,Industry,Sector,Country or region of registration,Description
HUM,"S&P 500, S&P 500 Health Care, Russell 3000, Russell 1000, S&P 500 ESG",Managed health care,Health services,United States,Humana Inc.
HUN,"Russell 3000, Russell 1000",Chemicals: major diversified,Process industries,United States,Huntsman Corporation
HUYA,NASDAQ Golden Dragon China,Miscellaneous commercial services,Commercial services,China,"HUYA, Inc. Sponsored ADR Class A"
HVT,"Russell 2000, Russell 3000, Mini-Russell 2000",Specialty stores,Retail trade,United States,"Haverty Furniture Companies, Inc."
HWM,"S&P 500, S&P 500 Industrials, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000",Aerospace & defense,Electronic technology,United States,Howmet Aerospace Inc.
HXL,"S&P MidCap 400, Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",Aerospace & defense,Electronic technology,United States,Hexcel Corporation
HY,"Russell 2000, Russell 3000, Mini-Russell 2000",Industrial machinery,Producer manufacturing,United States,"Hyster-Yale, Inc."
HYAC,,Financial conglomerates,Finance,United States,Haymaker Acquisition Corp. 4
HYI,,Investment trusts/Mutual funds,Miscellaneous,United States,Western Asset High Yield Opportunity Fund Inc.
HYT,,Investment trusts/Mutual funds,Miscellaneous,United States,BlackRock Corporate High Yield Fund Inc
HZO,"Russell 2000, Russell 3000, Mini-Russell 2000",Specialty stores,Retail trade,United States,"MarineMax, Inc. (FL)"
IAE,,Investment trusts/Mutual funds,Miscellaneous,United States,Voya Asia Pacific High Dividend Equity Income Fund
IBM,"S&P 500, Dow Jones Industrial Average, S&P 500 Information Technology, S&P 100, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, Russell 3000, Dow Jones Composite Average, Russell 1000, NYSE Arca Major Market",Information technology services,Technology services,United States,International Business Machines Corporation
IBP,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Engineering & construction,Industrial services,United States,"Installed Building Products, Inc."
IBTA,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Packaged software,Technology services,United States,"Ibotta, Inc."
ICE,"S&P 500, Nasdaq US Large Cap Growth, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG, KBW NASDAQ Financial Technology Index",Investment banks/Brokers,Finance,United States,Intercontinental Exchange Inc.
ICR/PA,,Investment trusts/Mutual funds,Miscellaneous,United States,"InPoint Commercial Real Estate Income, Inc. 6.75% Series A Cumulative Redeemable Preferred Stock"
IDA,"S&P MidCap 400, Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",Electric utilities,Utilities,United States,"IDACORP, Inc."
IDE,,Investment trusts/Mutual funds,Miscellaneous,United States,Voya Infrastructure. Industrials and Materials Fund
IDT,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Major telecommunications,Communications,United States,IDT Corporation
IEX,"S&P 500, S&P 500 Industrials, Russell 3000, Russell 1000",Industrial machinery,Producer manufacturing,United States,IDEX Corporation
IFF,"S&P 500, S&P 500 Materials, Russell 3000, Russell 1000, S&P 500 ESG",Food: specialty/candy,Consumer non-durables,United States,"International Flavors & Fragrances, Inc."
IFN,,Investment trusts/Mutual funds,Miscellaneous,United States,India Fund Inc
IFS,,Regional banks,Finance,Peru,Intercorp Financial Services Inc.
IGA,,Investment trusts/Mutual funds,Miscellaneous,United States,Voya Global Advantage and Premium Opportunity Fund
IGD,,Investment trusts/Mutual funds,Miscellaneous,United States,Voya Global Equity Dividend and Premium Opportunity Fund
IGI,,Investment trusts/Mutual funds,Miscellaneous,United States,Western Asset Investment Grade Opportunity Trust Inc.
IGR,,Investment trusts/Mutual funds,Miscellaneous,United States,CBRE Global Real Estate Income Fund
IH,,Internet software/Services,Technology services,China,iHuman Inc. Sponsored ADR Class A
IHD,,Investment trusts/Mutual funds,Miscellaneous,United States,Voya Emerging Markets High Income Dividend Equity Fund
IHS,,Engineering & construction,Industrial services,United Kingdom,IHS Holding Limited
IIF,,Investment trusts/Mutual funds,Miscellaneous,United States,Morgan Stanley India Investment Fund Inc
IIIN,"Russell 2000, Russell 3000, Mini-Russell 2000",Metal fabrication,Producer manufacturing,United States,"Insteel Industries, Inc."
IIM,,Investment trusts/Mutual funds,Miscellaneous,United States,Invesco Value Municipal Income Trust
IIPR,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,Innovative Industrial Properties Inc
IMAX,"Russell 2000, Russell 3000, Mini-Russell 2000",Electronics/Appliances,Consumer durables,Canada,Imax Corporation
INFA,"Russell 3000, Russell 1000",Packaged software,Technology services,United States,Informatica Inc.
INGM,"Russell 3000, Russell 1000",Information technology services,Technology services,United States,Ingram Micro Holding Corporation
INGR,"S&P MidCap 400, Russell 3000, Russell 1000, NASDAQ US Benchmark Food Producers",Food: specialty/candy,Consumer non-durables,United States,Ingredion Incorporated
INN,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"Summit Hotel Properties, Inc."
INR,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Integrated oil,Energy minerals,United States,"Infinity Natural Resources, Inc."
INSP,"Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",Medical specialties,Health technology,United States,"Inspire Medical Systems, Inc."
INSW,"Russell 2000, Russell 3000, Mini-Russell 2000",Marine shipping,Transportation,United States,"International Seaways, Inc."
INVH,"S&P 500, S&P 500 Real Estate, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Real estate investment trusts,Finance,United States,"Invitation Homes, Inc."
INVX,"Russell 2000, Russell 3000, Mini-Russell 2000, PHLX Oil Service Sector",Oilfield services/Equipment,Industrial services,United States,"Innovex International, Inc."
IONQ,"Russell 2000, Nasdaq US Mid Cap Growth, Russell 3000, Mini-Russell 2000",Computer processing hardware,Electronic technology,United States,"IonQ, Inc."
IOT,"Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Packaged software,Technology services,United States,Samsara Inc.
IP,"S&P 500, S&P 500 Materials, Russell 3000, Russell 1000",Pulp & paper,Process industries,United States,International Paper Company
IPB,,Finance/Rental/Leasing,Finance,United States,"Merrill Lynch & Co., Inc. 6.0518% Index Plus Trust Certificates Series 2003-1"
IPG,"S&P 500, S&P 500 Communication Services, Russell 3000, Russell 1000, S&P 500 ESG",Advertising/Marketing services,Commercial services,United States,"Interpublic Group of Companies, Inc. (The)"
IPI,"Russell 2000, Russell 3000, Mini-Russell 2000",Other metals/Minerals,Non-energy minerals,United States,"Intrepid Potash, Inc"
IQI,,Investment trusts/Mutual funds,Miscellaneous,United States,Invesco Quality Municipal Income Trust of Benef Interest Invesco Quality Municipal Income Trust
IQV,"S&P 500, S&P 500 Health Care, Russell 3000, Russell 1000, S&P 500 ESG",Biotechnology,Health technology,United States,"IQVIA Holdings, Inc."
IR,"S&P 500, S&P 500 Industrials, Russell 3000, Russell 1000, S&P 500 ESG",Industrial machinery,Producer manufacturing,United States,Ingersoll Rand Inc.
IRM,"S&P 500, S&P 500 Real Estate, Russell 3000, Russell 1000, S&P 500 ESG",Real estate investment trusts,Finance,United States,"Iron Mountain, Inc."
IRT,"Russell 2000, S&P MidCap 400, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"Independence Realty Trust, Inc."
ISD,,Investment trusts/Mutual funds,Miscellaneous,United States,"PGIM High Yield Bond Fund, Inc."
IT,"S&P 500, S&P 500 Information Technology, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Internet software/Services,Technology services,United States,"Gartner, Inc."
ITGR,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Medical specialties,Health technology,United States,Integer Holdings Corporation
ITT,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Auto parts: OEM,Producer manufacturing,United States,ITT Inc.
ITW,"S&P 500, S&P 500 Industrials, Russell 3000, Russell 1000, S&P 500 ESG",Auto parts: OEM,Producer manufacturing,United States,Illinois Tool Works Inc.
IVR,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,Invesco Mortgage Capital Inc.
IVT,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,InvenTrust Properties Corp
IVZ,"S&P 500, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG",Investment managers,Finance,United States,Invesco Ltd
J,"S&P 500, S&P 500 Industrials, Russell 3000, Russell 1000",Data processing services,Technology services,United States,Jacobs Solutions Inc.
JACS,,Financial conglomerates,Finance,United States,Jackson Acquisition Company II
JBGS,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,JBG SMITH Properties
JBI,"Russell 2000, Russell 3000, Mini-Russell 2000",Building products,Producer manufacturing,United States,"Janus International Group, Inc."
JBK,,Finance/Rental/Leasing,Finance,United States,Lehman ABS 3.50 3.50% Adjustable Corp Backed Tr Certs GS Cap I
JBL,"S&P 500, S&P 500 Information Technology, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Industrial machinery,Producer manufacturing,United States,Jabil Inc.
JBS,,Food: meat/fish/dairy,Consumer non-durables,Netherlands,JBS N.V.
JBTM,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Industrial machinery,Producer manufacturing,United States,JBT Marel Corporation
JCE,,Investment trusts/Mutual funds,Miscellaneous,United States,Nuveen Core Equity Alpha Fund
JCI,"S&P 500, S&P 500 Industrials, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Industrial machinery,Producer manufacturing,Ireland,Johnson Controls International plc
JEF,"S&P MidCap 400, Russell 3000, Russell 1000",Investment banks/Brokers,Finance,United States,Jefferies Financial Group Inc.
JELD,"Russell 2000, Russell 3000, Mini-Russell 2000",Forest products,Non-energy minerals,United States,"JELD-WEN Holding, Inc."
JENA,,Financial conglomerates,Finance,United States,Jena Acquisition Corporation II
JFR,,Investment trusts/Mutual funds,Miscellaneous,United States,Nuveen Floating Rate Income Fund
JGH,,Investment trusts/Mutual funds,Miscellaneous,United States,Nuveen Global High Income Fund
JHG,"S&P MidCap 400, Russell 3000, Russell 1000",Investment managers,Finance,United Kingdom,Janus Henderson Group plc
JHI,,Investment trusts/Mutual funds,Miscellaneous,United States,John Hancock Investors Trust
JHS,,Investment trusts/Mutual funds,Miscellaneous,United States,John Hancock Income Securities Trust
JHX,"Russell 3000, Russell 1000",Construction materials,Non-energy minerals,Ireland,James Hardie Industries plc.
JILL,"Russell 2000, Mini-Russell 2000",Apparel/Footwear retail,Retail trade,United States,"J. Jill, Inc."
JKS,NASDAQ Golden Dragon China,Semiconductors,Electronic technology,China,"JinkoSolar Holding Co., Ltd. Sponsored ADR"
JLL,"S&P MidCap 400, Russell 3000, Russell 1000",Real estate development,Finance,United States,Jones Lang LaSalle Incorporated
JLS,,Investment trusts/Mutual funds,Miscellaneous,United States,Nuveen Mortgage and Income Fund
JMIA,,Internet software/Services,Technology services,Germany,Jumia Technologies AG Sponsored ADR
JMM,,Investment trusts/Mutual funds,Miscellaneous,United States,Nuveen Multi-Market Income Fund
JNJ,"S&P 500, Dow Jones Industrial Average, S&P 500 Health Care, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, NYSE Arca Major Market",Pharmaceuticals: major,Health technology,United States,Johnson & Johnson
JOBY,"Russell 2000, Nasdaq US Mid Cap Growth, Russell 3000, Mini-Russell 2000",Aerospace & defense,Electronic technology,United States,"Joby Aviation, Inc."
JOE,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate development,Finance,United States,St. Joe Company (The)
JOF,,Investment trusts/Mutual funds,Miscellaneous,United States,Japan Smaller Capitalization Fund Inc Smaller Capitalization Fund
JPC,,Investment trusts/Mutual funds,Miscellaneous,United States,Nuveen Preferred & Income Opportunities Fund of Benef Interest
JPM,"S&P 500, Dow Jones Industrial Average, S&P 100, KBW NASDAQ Bank, Nasdaq US Large Cap Growth, Russell 3000, S&P 500 Financials, Dow Jones Composite Average, Russell 1000, NYSE Arca Major Market",Major banks,Finance,United States,JP Morgan Chase & Co.
JQC,,Investment trusts/Mutual funds,Miscellaneous,United States,Nuveen Credit Strategies Income Fund
JRI,,Investment trusts/Mutual funds,Miscellaneous,United States,Nuveen Real Asset Income & Growth Fund
JRS,,Investment trusts/Mutual funds,Miscellaneous,United States,Nuveen Real Estate Income Fund Real Estate Income Fund
JXN,"Russell 2000, Russell 3000, Mini-Russell 2000",Life/Health insurance,Finance,United States,Jackson Financial Inc.
K,"S&P 500, S&P 500 Consumer Staples, Russell 3000, Russell 1000, S&P 500 ESG",Food: specialty/candy,Consumer non-durables,United States,Kellanova
KAI,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Industrial machinery,Producer manufacturing,United States,Kadant Inc
KAR,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Packaged software,Technology services,United States,"OPENLANE, Inc."
KBDC,,Investment managers,Finance,United States,"Kayne Anderson BDC, Inc."
KBH,"Russell 2000, S&P MidCap 400, Russell 3000, PHLX Housing Sector, Mini-Russell 2000",Homebuilding,Consumer durables,United States,KB Home
KBR,"S&P MidCap 400, Russell 3000, Russell 1000",Information technology services,Technology services,United States,"KBR, Inc."
KD,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Data processing services,Technology services,United States,"Kyndryl Holdings, Inc."
KEN,,Electric utilities,Utilities,Singapore,Kenon Holdings Ltd.
KEX,"Dow Jones Transportation Average, S&P MidCap 400, Nasdaq US Small Cap Growth, Russell 3000, Dow Jones Composite Average, Russell 1000",Marine shipping,Transportation,United States,Kirby Corporation
KEY,"S&P 500, KBW NASDAQ Bank, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG",Major banks,Finance,United States,KeyCorp
KEYS,"S&P 500, S&P 500 Information Technology, Russell 3000, Russell 1000, S&P 500 ESG",Electronic equipment/Instruments,Electronic technology,United States,Keysight Technologies Inc.
KF,,Investment trusts/Mutual funds,Miscellaneous,United States,Korea Fund Inc
KFRC,"Russell 2000, Russell 3000, Mini-Russell 2000",Personnel services,Commercial services,United States,"Kforce, Inc."
KFS,"Russell 2000, Nasdaq US Small Cap Growth, Mini-Russell 2000",Multi-line insurance,Finance,United States,"Kingsway Financial Services, Inc."
KFY,"Russell 2000, Russell 3000, Mini-Russell 2000",Personnel services,Commercial services,United States,Korn Ferry
KGS,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Oilfield services/Equipment,Industrial services,United States,"Kodiak Gas Services, Inc."
KIM,"S&P 500, S&P 500 Real Estate, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Real estate investment trusts,Finance,United States,Kimco Realty Corporation
KIO,,Investment trusts/Mutual funds,Miscellaneous,United States,KKR Income Opportunities Fund
KKR,"S&P 500, Nasdaq US Large Cap Growth, Russell 3000, S&P 500 Financials, Russell 1000",Investment managers,Finance,United States,KKR & Co. Inc.
KKRS,,Finance/Rental/Leasing,Finance,United States,KKR Group Finance Co. IX LLC 4.625% Subordinated Notes due 2061
KLAR,,Miscellaneous,Miscellaneous,United Kingdom,Klarna Group plc
KLC,"Russell 2000, Russell 3000, Mini-Russell 2000",Other consumer services,Consumer services,United States,"KinderCare Learning Companies, Inc."
KMI,"S&P 500, S&P 500 Energy, Russell 3000, Russell 1000, S&P 500 ESG",Oil & gas pipelines,Industrial services,United States,"Kinder Morgan, Inc."
KMPR,"S&P MidCap 400, Russell 3000, Russell 1000",Property/Casualty insurance,Finance,United States,Kemper Corporation
KMT,"Russell 2000, Russell 3000, Mini-Russell 2000",Industrial machinery,Producer manufacturing,United States,Kennametal Inc.
KMX,"S&P 500 Consumer Discretionary, Russell 3000, Russell 1000",Specialty stores,Retail trade,United States,CarMax Inc
KN,"Russell 2000, Russell 3000, Mini-Russell 2000",Electronic components,Electronic technology,United States,Knowles Corporation
KNF,"Russell 2000, S&P MidCap 400, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Construction materials,Non-energy minerals,United States,Knife Riv Holding Co.
KNOP,,Marine shipping,Transportation,United Kingdom,KNOT Offshore Partners LP
KNSL,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Multi-line insurance,Finance,United States,"Kinsale Capital Group, Inc."
KNTK,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Oil & gas pipelines,Industrial services,United States,Kinetik Holdings Inc.
KNX,"S&P MidCap 400, Russell 3000, Russell 1000",Trucking,Transportation,United States,Knight-Swift Transportation Holdings Inc.
KO,"S&P 500, Dow Jones Industrial Average, S&P 500 Consumer Staples, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, NYSE Arca Major Market",Beverages: non-alcoholic,Consumer non-durables,United States,Coca-Cola Company (The)
KODK,"Russell 2000, Russell 3000, Mini-Russell 2000",Industrial machinery,Producer manufacturing,United States,Eastman Kodak Company
KOP,"Russell 2000, Russell 3000, Mini-Russell 2000",Chemicals: specialty,Process industries,United States,Koppers Holdings Inc.
KORE,,Information technology services,Technology services,United States,"KORE Group Holdings, Inc."
KOS,"Russell 2000, Russell 3000, Mini-Russell 2000",Integrated oil,Energy minerals,United States,Kosmos Energy Ltd.
KR,"S&P 500, S&P 500 Consumer Staples, Russell 3000, Russell 1000, S&P 500 ESG",Food retail,Retail trade,United States,Kroger Company (The)
KRC,"S&P MidCap 400, Russell 3000, Russell 1000",Real estate investment trusts,Finance,United States,Kilroy Realty Corporation
KREF,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"KKR Real Estate Finance Trust, Inc."
KRG,"Russell 2000, S&P MidCap 400, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,Kite Realty Group Trust
KRMN,"Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",Aerospace & defense,Electronic technology,United States,Karman Holdings Inc.
KRO,"Russell 2000, Mini-Russell 2000",Chemicals: specialty,Process industries,United States,Kronos Worldwide Inc
KRP,,Investment trusts/Mutual funds,Miscellaneous,United States,Kimbell Royalty Partners
KRSP.U,,Financial conglomerates,Finance,United States,Rice Acquisition Corporation 3 Units Cons of 1 Shs A + 1/6 Red Wt
KSS,"Russell 2000, Russell 3000, Mini-Russell 2000",Department stores,Retail trade,United States,Kohl's Corporation
KTB,"Russell 2000, Russell 3000, Mini-Russell 2000",Apparel/Footwear,Consumer non-durables,United States,"Kontoor Brands, Inc."
KTF,,Investment trusts/Mutual funds,Miscellaneous,United States,DWS Municipal Income Trust
KTH,,Finance/Rental/Leasing,Finance,United States,Structures Products Cp 8% CorTS Issued by Peco Energy Cap Tr II Preferred Stock
KTN,,Finance/Rental/Leasing,Finance,United States,Structured Products Corp 8.205% CorTS 8.205% Corporate Backed Trust Securities (CorTS)
KVUE,"S&P 500, S&P 500 Consumer Staples, Russell 3000, Russell 1000",Household/Personal care,Consumer non-durables,United States,Kenvue Inc.
KVYO,"ISE CTA Cloud Computing, Nasdaq US Small Cap Growth",Packaged software,Technology services,United States,"Klaviyo, Inc. Series A"
KW,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate development,Finance,United States,Kennedy-Wilson Holdings Inc.
KWR,"Russell 2000, Russell 3000, Mini-Russell 2000",Chemicals: specialty,Process industries,United States,Quaker Houghton
KYN,,Investment trusts/Mutual funds,Miscellaneous,United States,"Kayne Anderson Energy Infrastructure Fund, Inc."
L,"S&P 500, Russell 3000, S&P 500 Financials, Russell 1000",Property/Casualty insurance,Finance,United States,Loews Corporation
LAC,,Chemicals: specialty,Process industries,Canada,Lithium Americas Corp.
LAD,"S&P MidCap 400, Russell 3000, Russell 1000",Specialty stores,Retail trade,United States,"Lithia Motors, Inc."
LADR,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,Ladder Capital Corp. Class A
LANV,,Apparel/Footwear,Consumer non-durables,China,Lanvin Group Holdings Limited
LAR,,Other metals/Minerals,Non-energy minerals,Switzerland,Lithium Argentina AG
LAW,"Russell 2000, Russell 3000, Mini-Russell 2000",Packaged software,Technology services,United States,"CS Disco, Inc."
LAZ,"Russell 3000, Russell 1000",Investment banks/Brokers,Finance,United States,"Lazard, Inc."
LB,,Miscellaneous commercial services,Commercial services,United States,LandBridge Company LLC
LBRT,"Russell 2000, Russell 3000, Mini-Russell 2000",Oilfield services/Equipment,Industrial services,United States,Liberty Energy Inc.
LC,"Russell 2000, Russell 3000, Mini-Russell 2000, KBW NASDAQ Financial Technology Index",Major banks,Finance,United States,LendingClub Corporation
LCII,"Russell 2000, Russell 3000, Mini-Russell 2000",Miscellaneous manufacturing,Producer manufacturing,United States,LCI Industries
LDI,"Russell 2000, Mini-Russell 2000",Finance/Rental/Leasing,Finance,United States,"loanDepot, Inc."
LDOS,"S&P 500, S&P 500 Industrials, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Packaged software,Technology services,United States,"Leidos Holdings, Inc."
LDP,,Investment trusts/Mutual funds,Miscellaneous,United States,"Cohen & Steers Ltd. Duration Preferred & Income Fund, Inc."
LEA,"S&P MidCap 400, Russell 3000, Russell 1000",Auto parts: OEM,Producer manufacturing,United States,Lear Corporation
LEG,"Russell 2000, Russell 3000, Mini-Russell 2000",Home furnishings,Consumer durables,United States,"Leggett & Platt, Incorporated"
LEN,"S&P 500, S&P 500 Consumer Discretionary, Russell 3000, PHLX Housing Sector, Russell 1000",Homebuilding,Consumer durables,United States,Lennar Corporation
LEO,,Investment trusts/Mutual funds,Miscellaneous,United States,"BNY Mellon Strategic Municipals, Inc."
LEVI,,Apparel/Footwear,Consumer non-durables,United States,Levi Strauss & Co
LFT,"Russell 2000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"Lument Finance Trust, Inc."
LGI,,Investment trusts/Mutual funds,Miscellaneous,United States,Lazard Global Total Return & Income Fund Inc
LH,"S&P 500, S&P 500 Health Care, Russell 3000, Russell 1000",Medical/Nursing services,Health services,United States,Labcorp Holdings Inc.
LHX,"S&P 500, S&P 500 Industrials, Russell 3000, Russell 1000",Aerospace & defense,Electronic technology,United States,"L3Harris Technologies, Inc."
LII,"S&P 500, S&P 500 Industrials, Nasdaq US Mid Cap Growth, Russell 3000, PHLX Housing Sector, Russell 1000, S&P 500 ESG",Industrial machinery,Producer manufacturing,United States,"Lennox International, Inc."
LION,"Russell 2000, Russell 3000, Mini-Russell 2000",Movies/Entertainment,Consumer services,United States,Lionsgate Studios Corp
LITB,,Apparel/Footwear retail,Retail trade,Singapore,"LightInTheBox Holding Co., Ltd. Sponsored ADR"
LLY,"S&P 500, S&P 500 Health Care, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Pharmaceuticals: major,Health technology,United States,Eli Lilly and Company
LMND,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000, KBW NASDAQ Financial Technology Index",Property/Casualty insurance,Finance,United States,"Lemonade, Inc."
LMT,"S&P 500, S&P 500 Industrials, S&P 100, Russell 3000, Russell 1000",Aerospace & defense,Electronic technology,United States,Lockheed Martin Corporation
LNC,"Russell 3000, Russell 1000",Multi-line insurance,Finance,United States,Lincoln National Corporation
LNG,"Russell 3000, Russell 1000",Oil & gas pipelines,Industrial services,United States,"Cheniere Energy, Inc."
LNN,"Russell 2000, Russell 3000, Mini-Russell 2000",Trucks/Construction/Farm machinery,Producer manufacturing,United States,Lindsay Corporation
LOAR,"Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",Aerospace & defense,Electronic technology,United States,Loar Holdings Inc.
LOB,"Russell 2000, Russell 3000, Mini-Russell 2000",Regional banks,Finance,United States,"Live Oak Bancshares, Inc."
LOCL,,Financial conglomerates,Finance,United States,Local Bounti Corporation
LOW,"S&P 500, S&P 500 Consumer Discretionary, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG",Home improvement chains,Retail trade,United States,"Lowe's Companies, Inc."
LPG,"Russell 2000, Russell 3000, Mini-Russell 2000",Marine shipping,Transportation,United States,Dorian LPG Ltd.
LPX,"S&P MidCap 400, Russell 3000, Russell 1000",Forest products,Non-energy minerals,United States,Louisiana-Pacific Corporation
LRN,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Other consumer services,Consumer services,United States,"Stride, Inc."
LTC,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"LTC Properties, Inc."
LTH,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Other consumer services,Consumer services,United States,"Life Time Group Holdings, Inc."
LU,NASDAQ Golden Dragon China,Finance/Rental/Leasing,Finance,China,Lufax Holding Ltd Sponsored ADR Class A
LUCK,Nasdaq US Small Cap Growth,Movies/Entertainment,Consumer services,United States,Lucky Strike Entertainment Corporation
LUMN,"Russell 2000, ISE CTA Cloud Computing, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Major telecommunications,Communications,United States,"Lumen Technologies, Inc."
LUV,"S&P 500, Dow Jones Transportation Average, S&P 500 Industrials, Russell 3000, Dow Jones Composite Average, Russell 1000, S&P 500 ESG",Airlines,Transportation,United States,Southwest Airlines Company
LUXE,,Internet retail,Retail trade,Germany,LuxExperience B.V. Sponsored ADR
LVS,"S&P 500, S&P 500 Consumer Discretionary, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Casinos/Gaming,Consumer services,United States,Las Vegas Sands Corp.
LVWR,"Russell 2000, Mini-Russell 2000",Recreational products,Consumer durables,United States,"LiveWire Group, Inc."
LW,"S&P 500, S&P 500 Consumer Staples, Russell 3000, Russell 1000, S&P 500 ESG, NASDAQ US Benchmark Food Producers",Food: specialty/candy,Consumer non-durables,United States,"Lamb Weston Holdings, Inc."
LXFR,"Russell 2000, Russell 3000, Mini-Russell 2000",Other metals/Minerals,Non-energy minerals,United States,Luxfer Holdings PLC
LXP,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,LXP Industrial Trust
LXU,"Russell 2000, Russell 3000, Mini-Russell 2000",Chemicals: agricultural,Process industries,United States,"LSB Industries, Inc."
LYB,"S&P 500, S&P 500 Materials, Russell 3000, Russell 1000, S&P 500 ESG",Chemicals: specialty,Process industries,United Kingdom,LyondellBasell Industries NV
LYV,"S&P 500, S&P 500 Communication Services, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000",Movies/Entertainment,Consumer services,United States,"Live Nation Entertainment, Inc."
LZB,"Russell 2000, Russell 3000, Mini-Russell 2000",Home furnishings,Consumer durables,United States,La-Z-Boy Incorporated
LZM,"Russell 2000, Mini-Russell 2000",Other metals/Minerals,Non-energy minerals,United Kingdom,Lifezone Metals Limited
M,"S&P MidCap 400, Russell 3000, Russell 1000",Department stores,Retail trade,United States,Macy's Inc
MA,"S&P 500, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG, KBW NASDAQ Financial Technology Index",Finance/Rental/Leasing,Finance,United States,Mastercard Incorporated
MAA,"S&P 500, S&P 500 Real Estate, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Real estate investment trusts,Finance,United States,"Mid-America Apartment Communities, Inc."
MAC,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,Macerich Company
