Symbol,Index,Industry,Sector,Country or region of registration,Description
SBSI,"Russell 2000, Russell 3000, Mini-Russell 2000",Regional banks,Finance,United States,"Southside Bancshares, Inc."
SBXD,,Financial conglomerates,Finance,United States,SilverBox Corp IV
SCCO,"Russell 3000, Russell 1000",Other metals/Minerals,Non-energy minerals,United States,Southern Copper Corporation
SCD,,Investment trusts/Mutual funds,Miscellaneous,United States,LMP Capital and Income Fund Inc
SCE/PG,,Finance/Rental/Leasing,Finance,United States,SCE Trust II Trust Preferred Securities
SCE/PJ,,Finance/Rental/Leasing,Finance,United States,Southern California Edison Company 5.375% Fixed-to-Floating Rate Trust Preference Securities
SCE/PK,,Finance/Rental/Leasing,Finance,United States,Southern California Edison Company 5.45% Fixed-to-Floating Rate Trust Preference Securities
SCE/PL,,Finance/Rental/Leasing,Finance,United States,SCE TRUST VI
SCE/PM,,Finance/Rental/Leasing,Finance,United States,SCE Trust VII 7.50% Trust Preference Securities
SCE/PN,,Finance/Rental/Leasing,Finance,United States,SCE Trust VIII 6.95% Trust Preference Securities
SCHW,"S&P 500, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG, KBW NASDAQ Financial Technology Index",Investment banks/Brokers,Finance,United States,Charles Schwab Corporation (The)
SCI,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Other consumer services,Consumer services,United States,Service Corporation International
SCL,"Russell 2000, Russell 3000, Mini-Russell 2000",Chemicals: specialty,Process industries,United States,Stepan Company
SCM,,Investment trusts/Mutual funds,Miscellaneous,United States,Stellus Capital Investment Corporation
SCS,"Russell 2000, Russell 3000, Mini-Russell 2000",Office equipment/Supplies,Producer manufacturing,United States,Steelcase Inc.
SD,"Russell 2000, Russell 3000, Mini-Russell 2000",Oil & gas production,Energy minerals,United States,"SandRidge Energy, Inc."
SDHC,,Homebuilding,Consumer durables,United States,Smith Douglas Homes Corp.
SDHY,,Investment trusts/Mutual funds,Miscellaneous,United States,PGIM Short Duration High Yield Opportunities Fund
SDRL,"Russell 2000, Russell 3000, Mini-Russell 2000",Contract drilling,Industrial services,Bermuda,Seadrill Limited
SE,NASDAQ CB Insights Metaverse US Index,Internet retail,Retail trade,Singapore,Sea Limited Sponsored ADR Class A
SEAL/PB,,Marine shipping,Transportation,Canada,Seapeak LLC 8.50% Series B Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred
SEE,"Russell 3000, Russell 1000",Containers/Packaging,Process industries,United States,Sealed Air Corporation
SEG,"Russell 2000, Russell 3000, Mini-Russell 2000",Movies/Entertainment,Consumer services,United States,Seaport Entertainment Group Inc.
SEI,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Information technology services,Technology services,United States,"Solaris Energy Infrastructure, Inc."
SEM,"Russell 2000, Russell 3000, Mini-Russell 2000",Hospital/Nursing management,Health services,United States,Select Medical Holdings Corporation
SEMR,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Packaged software,Technology services,United States,"SEMrush Holdings, Inc."
SES,Nasdaq US Small Cap Growth,Electrical products,Producer manufacturing,United States,SES AI Corporation
SF,"S&P MidCap 400, Russell 3000, Russell 1000",Investment managers,Finance,United States,Stifel Financial Corporation
SFBS,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Regional banks,Finance,United States,"ServisFirst Bancshares, Inc."
SFL,"Russell 2000, Russell 3000, Mini-Russell 2000",Marine shipping,Transportation,Bermuda,SFL Corporation Ltd
SG,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Restaurants,Consumer services,United States,"Sweetgreen, Inc."
SGHC,"Russell 2000, Russell 3000, Mini-Russell 2000",Casinos/Gaming,Consumer services,United Kingdom,Super Group (SGHC) Limited
SGI,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Home furnishings,Consumer durables,United States,Somnigroup International Inc.
SGU,,Oil refining/Marketing,Energy minerals,United States,Star Group L.P.
SHAK,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Restaurants,Consumer services,United States,"Shake Shack, Inc."
SHCO,,Miscellaneous commercial services,Commercial services,United Kingdom,Soho House & Co Inc.
SHO,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"Sunstone Hotel Investors, Inc."
SHW,"S&P 500, Dow Jones Industrial Average, S&P 500 Materials, Russell 3000, Dow Jones Composite Average, Russell 1000, S&P 500 ESG",Industrial specialties,Process industries,United States,Sherwin-Williams Company (The)
SI,"Russell 2000, Mini-Russell 2000",Medical specialties,Health technology,United States,"Shoulder Innovations, Inc."
SIG,"Russell 2000, Russell 3000, Mini-Russell 2000",Specialty stores,Retail trade,Bermuda,Signet Jewelers Limited
SILA,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"Sila Realty Trust, Inc."
SITC,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,SITE Centers Corp.
SITE,"Russell 3000, Russell 1000",Wholesale distributors,Distribution services,United States,"SiteOne Landscape Supply, Inc."
SJM,"S&P 500, S&P 500 Consumer Staples, Russell 3000, Russell 1000, S&P 500 ESG, NASDAQ US Benchmark Food Producers",Food: specialty/candy,Consumer non-durables,United States,The J.M. Smucker Company
SJT,,Investment trusts/Mutual funds,Miscellaneous,United States,San Juan Basin Royalty Trust
SKIL,"Russell 2000, Mini-Russell 2000",Packaged software,Technology services,United States,Skillsoft Corp.
SKLZ,,Data processing services,Technology services,United States,Skillz Inc.
SKT,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,Tanger Inc.
SKY,"Russell 2000, Russell 3000, Mini-Russell 2000",Homebuilding,Consumer durables,United States,"Champion Homes, Inc."
SKYH,"Russell 2000, Nasdaq US Small Cap Growth, Mini-Russell 2000",Real estate development,Finance,United States,Sky Harbour Group Corporation
SLAI,,Data processing services,Technology services,United States,SOLAI Limited Sponsored ADR Class A
